reg,fleet_number,account_number,item_installed,ip_address
HT35ZSGP,,AIXX-0001,skylink_pro_ip,63.128.1.156
KC15VLGP,,AIXX-0001,skylink_pro_ip,49.136.2.59
KM06RCGP,,AIXX-0001,skylink_pro_ip,53.12.2.4
LM75TYGP,,AIXX-0001,skylink_pro_ip,63.142.1.199
LM75WBGP,,AIXX-0001,skylink_pro_ip,51.209.1.114
LM75YLGP,,AIXX-0001,skylink_pro_ip,52.81.1.208
LM76DJGP,,AIXX-0001,skylink_pro_ip,61.13.2.65
LT02RRGP,,AIXX-0001,skylink_pro_ip,62.120.2.84
LT02RYGP,,AIXX-0001,skylink_pro_ip,62.120.2.79
LT02SJGP,,AIXX-0001,skylink_pro_ip,63.143.1.114
LT18WZGP,,AIXX-0001,skylink_pro_ip,63.142.1.192
LZ66DZGP,,AIXX-0001,skylink_pro_ip,63.143.1.33
MB86LWGP,,AIXX-0001,skylink_pro_ip,63.128.1.243
MB86MFGP,,AIXX-0001,skylink_pro_ip,63.128.1.203
MG40KPGP,,AIXX-0001,skylink_pro_ip,63.213.2.174
MG40LKGP,,AIXX-0001,skylink_pro_ip,53.10.2.159
BL76NMGP,,ALDA-0001,skylink_pro_ip,52.124.1.243
BP41YLGP,,ALDA-0001,skylink_pro_ip,52.106.1.73
BP81FNGP,,ALDA-0001,skylink_pro_ip,52.106.1.97
BT65BBGP,,ALDA-0001,skylink_pro_ip,52.125.1.1
BT65GRGP,,ALDA-0001,skylink_pro_ip,52.105.1.175
BZ87JRGP,,ALDA-0001,skylink_pro_ip,52.105.1.147
CZ43SNGP,,ALDA-0001,skylink_pro_ip,52.105.1.148
DB38VHGP,,ALDA-0001,skylink_pro_ip,59.97.1.142
FG93VJGP,,ALDA-0001,skylink_pro_ip,51.73.1.186
FG93VMGP,,ALDA-0001,skylink_pro_ip,52.245.1.38
YFM704GP,,ALDA-0001,skylink_pro_ip,29.1.1.159
BP70LDGP - AS25T - (BEAME ONLY),AS25T,ALST-0001,,
BS19TXGP (Beame/Sky/Single Fuel Probe) - Panic,AS13,ALST-0001,skylink_pro_ip,60.42.2.61
BV66PWGP (Beame/Sky/Single Fuel Probe) - Panic,AS11,ALST-0001,skylink_pro_ip,60.39.2.250
DK32LZGP (Beame/Sky/Single Fuel Probe) - Panic,AS23,ALST-0001,skylink_pro_ip,58.165.2.191
DK32MNGP (Beame/Sky/Single Fuel Probe) - Panic,AS26,ALST-0001,skylink_pro_ip,60.39.2.29
DK32NCGP (Beame/Sky/Single Fuel Probe) - Panic,AS24,ALST-0001,skylink_pro_ip,60.42.2.114
DN32BSGP (Beame/Sky/Single Fuel Probe) - Panic - No Can,AS31,ALST-0001,skylink_pro_ip,58.165.2.188
DP87WWGP (Beame/Sky/Single Fuel Probe) - Panic,AS30,ALST-0001,skylink_pro_ip,58.165.2.214
DS10YNGP (Beame/Sky/Single Fuel Probe) - Panic,AS22,ALST-0001,skylink_pro_ip,60.42.2.74
DS10YSGP (Beame/Sky/Single Fuel Probe) - Panic,AS27,ALST-0001,skylink_pro_ip,58.165.2.137
DW73RKG[ (Beame only),,ALST-0001,,
DX17CKGP (Beame/Sky/Single Fuel Probe) - Panic,AS18,ALST-0001,skylink_pro_ip,58.165.2.212
DX17CZGP (Beame/Sky/Single Fuel Probe) - Panic,AS21,ALST-0001,skylink_pro_ip,61.13.2.105
DY03LTGP - AS26T - (BEAME ONLY),AS26T,ALST-0001,,
DY70FBGP (Beame/Sky/Single Fuel Probe) - Panic,AS29,ALST-0001,skylink_pro_ip,60.42.2.193
FG24FJGP (Beame/Sky/Single Fuel Probe) - Panic - No Can,AS32,ALST-0001,skylink_pro_ip,60.42.2.209
FV46TMGP (Beame/Sky/Single Fuel Probe) - Panic,AS34,ALST-0001,skylink_pro_ip,60.41.2.212
FV46TWGP (Beame/Sky/Single Fuel Probe) - Panic,AS37,ALST-0001,skylink_pro_ip,60.40.2.23
FV95JKGP (Beame/Sky/Single Fuel Probe) - Panic,AS36,ALST-0001,skylink_pro_ip,60.43.2.90
FV95JVGP (Beame/Sky/Single Fuel Probe) - Panic,AS35,ALST-0001,skylink_pro_ip,60.39.2.33
HH94BWGP (Beame/Sky/Single Fuel Probe) - Panic,AS40,ALST-0001,skylink_pro_ip,60.44.2.170
HH96FCGP (Beame/Sky/Single Fuel Probe) - Panic,AS39,ALST-0001,skylink_pro_ip,60.45.2.254
HJ04JFGP (Beame/Sky/No Probe) - Panic,AS09,ALST-0001,skylink_pro_ip,60.42.2.38
HJ56YJGP (Beame/Sky/Single Fuel Probe) - Panic,AS38,ALST-0001,skylink_pro_ip,60.39.2.237
JG72RSGP (Beame/Sky/Dual Fuel Probe) - Panic,AS42,ALST-0001,skylink_pro_ip,60.42.2.119
JG80PWGP (Beame/Sky/Dual Fuel Probe) - Panic,AS44,ALST-0001,skylink_pro_ip,60.42.2.32
JG89TYGP (Beame/Sky/Dual Fuel Probe) - Panic,AS43,ALST-0001,skylink_pro_ip,58.165.2.168
JG99MLGP (Beame/Sky/Dual Fuel Probe) - Panic,AS41,ALST-0001,skylink_pro_ip,60.42.2.33
JH83TGGP - AS42T - (BEAME ONLY),AS42T,ALST-0001,,
JH83TLGP - AS41T - (BEAME ONLY),AS41T,ALST-0001,,
JH83TMGP - AS43T - (BEAME ONLY),AD43T,ALST-0001,,
JH83TRGP - (BEAME ONLY),AS44T,ALST-0001,,
JP33CFGP (Beame/Sky/Single Fuel Probe) - Panic - No Can,AS46,ALST-0001,skylink_pro_ip,60.44.2.141
JP33FMGP (Beame/Sky/Single Fuel Probe) - Panic,AS45,ALST-0001,skylink_pro_ip,60.41.2.235
JP33FZGP - AS30T - (BEAME ONLY),AS30T,ALST-0001,,
JP33GRGP - AS27T - (BEAME ONLY),AS27T,ALST-0001,,
JP33GVGP - AS29T - (BEAME ONLY),AS29T,ALST-0001,,
JP56ZFGP - (BEAME ONLY),AS39T,ALST-0001,,
JW33HMGP (Beame/Sky/Dual Fuel Probe) - Panic,AS47,ALST-0001,skylink_pro_ip,58.166.2.95
JW62RGGP (Beame/Sky/Dual Fuel Probe) - Panic,AS48,ALST-0001,skylink_pro_ip,60.40.2.11
JX05JXGP (Beame/Sky/Dual Fuel Probe) - Panic,AS49,ALST-0001,skylink_pro_ip,60.42.2.216
JX16SPGP (Beame/Sky/Dual Fuel Probe) - Panic,AS50,ALST-0001,skylink_pro_ip,58.165.2.16
JX75TRGP - AS49T - (BEAME ONLY),AS49T,ALST-0001,,
JX75VDGP - AS48T - (BEAME ONLY),AS48T,ALST-0001,,
JY60PZGP - AS50T - (BEAME ONLY),AS50T,ALST-0001,,
JZ32NHGP (Beame/Sky/Single Fuel Probe) - Panic,AS51,ALST-0001,skylink_pro_ip,60.42.2.16
JZ78PGGP (Beame/Sky/Dual Fuel Probe) - Panic,AS03,ALST-0001,skylink_pro_ip,58.165.2.157
JZ88CYGP (Beame/Sky/Dual Fuel Probe) - Panic,AS04,ALST-0001,skylink_pro_ip,60.42.2.177
JZ97FBGP - AS48TE - (BEAME ONLY),AS48TE,ALST-0001,,
KB09DKGP - AS50TE - (BEAME ONLY),AS50TE,ALST-0001,,
KB23PZGP - AS23T - (BEAME ONLY),AS23T,ALST-0001,,
KB23RHGP - AS37T - (BEAME ONLY),AS37T,ALST-0001,,
KB26HDGP - AS22T - (BEAME ONLY),AS22T,ALST-0001,,
KB26HJGP - AS27T - (BEAME ONLY),AS47T,ALST-0001,,
KB27GDGP - AS35T - (BEAME ONLY),AS35T,ALST-0001,,
KB27GLGP - AS38T - (BEAME ONLY),AS38T,ALST-0001,,
KB27ZPGP - AS28T - (BEAME ONLY),AS34T,ALST-0001,,
KC26WDGP - AS51T - (BEAME ONLY),AS51T,ALST-0001,,
KH82LZGP (Beame/Sky/Single Fuel Probe) - Panic,AS02,ALST-0001,skylink_pro_ip,60.42.2.239
KM70PCGP - AS14T - (BEAME ONLY),AS14T,ALST-0001,,
KM70PNGP - AS36T - (BEAME ONLY),AS03T,ALST-0001,,
KM74KZGP - AS40T - (BEAME ONLY),AS04T,ALST-0001,,
KM74LCGP - AS24T - (BEAME ONLY),AS24T,ALST-0001,,
KM74LDGP (Beame/Sky/Single Fuel Probe) - Panic,AS06,ALST-0001,skylink_pro_ip,49.228.2.23
KM89YXGP (Beame/Sky/Single Fuel Probe) - Panic,AS05,ALST-0001,skylink_pro_ip,49.228.2.17
KM89YZGP - AS07T - (BEAME ONLY),AS07T,ALST-0001,,
KN98ZMGP (Beame/Sky/Dual Fuel Probe) - Panic + Camera Demo,"AS07 ",ALST-0001,skylink_pro_ip,60.41.2.209
KZ20GZGP (Beame only),,ALST-0001,,
LJ56PGGP (Beame only),,ALST-0001,,
LJ64WHGP (Beame only),,ALST-0001,,
LK10FVGP (Beame only),,ALST-0001,,
LK16ZSGP (BEAME ONLY),AS36T,ALST-0001,,
LK17BFGP (BEAME ONLY),AS40T,ALST-0001,,
LN43FCGP (Beame only),,ALST-0001,,
LR26FLGP (BEAME ONLY),AS08T,ALST-0001,,
LS12WTGP (Beame only),,ALST-0001,,
LT91GBGP - AS19T - BEAME ONLY,AS19T,ALST-0001,,
LT91GGGP (Beame/Sky/Double Fuel Probe) - Panic,"AS08 ",ALST-0001,skylink_pro_ip,58.165.2.142
LT95XFGP - AS10T - BEAME ONLY,AS20T,ALST-0001,,
LV00XXGP - AS01 - BEAME ONLY,AS01T,ALST-0001,,
LY21YHGP ( Beame/Sky/No Fuel Probe),AS33,ALST-0001,skylink_pro_ip,60.39.2.70
LY87HJGP (Beame/Sky/Single Fuel Probe) - Panic,AS20T,ALST-0001,skylink_pro_ip,60.39.2.162
MD82GMGP - BEAME ONLY,,ALST-0001,,
MD82GMGP (Beame only),,ALST-0001,,
MF79ZBGP (Beame/Sky/Single Fuel Probe) Panic,"AS10 ",ALST-0001,skylink_pro_ip,60.396.2.13
MH16MTGP - AS10T - BEAME ONLY,AS10T,ALST-0001,,
MK19LHGP - BEAME ONLY,,ALST-0001,,
MK23XTGP (Beame/Sky/Single Fuel Probe) - Panic,,ALST-0001,skylink_pro_ip,60.40.2.50
MK50HDGP - BEAME ONLY,,ALST-0001,,
ML41CLGP (Beame/Sky/Single Fuel Probe) - Panic,,ALST-0001,skylink_pro_ip,63.212.2.207
ML84TMGP - BEAME ONLY,,ALST-0001,,
ML90CNGP - BEAME ONLY,,ALST-0001,,
ML96CKGP - BEAME ONLY,,ALST-0001,,
PRW315GP - AS18T - (BEAME ONLY),AS18T,ALST-0001,,
TKW534GP - (BEAME ONLY),AS21T,ALST-0001,,
AHTKB3CD102652698,,AVVA-0001,,
"DC62THGP ",,AVVA-0001,sky_scout_12v_ip,61.40.1.53
FCL010X,,AVVA-0001,sky_scout_12v_ip,60.42.2.61
HC45SYGP,,AVVA-0001,sky_scout_12v_ip,53.10.2.112
"HG57JXGP ",,AVVA-0001,,
HY74MCGP,,AVVA-0001,,
"JC25MLGP           ",,AVVA-0001,,
JD01XBGP,,AVVA-0001,,
JG47GYGP,,AVVA-0001,,
JG92KWGP,,AVVA-0001,,
JH60SDGP,,AVVA-0001,sky_scout_12v_ip,60.39.2.250
JS32DXGP,,AVVA-0001,sky_scout_12v_ip,53.11.2.201
JX26GMGP,,AVVA-0001,,
JX67XXGP,,AVVA-0001,sky_scout_12v_ip,61.55.1.132
KB11XTGP,,AVVA-0001,,
KD63ZWGP,,AVVA-0001,sky_scout_12v_ip,61.39.1.240
KF71CDGP,,AVVA-0001,sky_scout_12v_ip,61.55.1.168
KG43LVGP,,AVVA-0001,,
KG85DBGP,,AVVA-0001,sky_scout_12v_ip,51.209.1.183
KG94SSGP,,AVVA-0001,sky_scout_12v_ip,60.39.2.29
KJ93RXGP,,AVVA-0001,sky_scout_12v_ip,63.213.2.246
KK59WLGP,,AVVA-0001,sky_scout_12v_ip,53.75.1.22
KL06PYGP,,AVVA-0001,,
KM37BYGP,,AVVA-0001,sky_scout_12v_ip,58.165.2.188
KM39TDGP,,AVVA-0001,sky_scout_12v_ip,58.165.2.214
KM39TFGP,,AVVA-0001,sky_scout_12v_ip,60.42.2.74
KM39TLGP,,AVVA-0001,sky_scout_12v_ip,58.165.2.137
"KM58VWGP ",,AVVA-0001,sky_scout_12v_ip,53.12.2.101
KP62WDGP,,AVVA-0001,sky_scout_12v_ip,60.42.2.193
"KP92NHGP ",,AVVA-0001,,
KR00CCGP,,AVVA-0001,sky_scout_12v_ip,60.42.2.209
KR00CWGP,,AVVA-0001,sky_scout_12v_ip,58.211.1.181
KR00DKGP,,AVVA-0001,sky_scout_12v_ip,60.41.2.212
KR00FFGP,,AVVA-0001,sky_scout_12v_ip,60.40.2.23
KR00FSGP,,AVVA-0001,sky_scout_12v_ip,60.43.2.90
KR24MMGP,,AVVA-0001,sky_scout_12v_ip,53.12.2.102
KR36LSGP,,AVVA-0001,sky_scout_12v_ip,53.10.2.242
KR36LXGP,,AVVA-0001,,
KR53NHGP,,AVVA-0001,sky_scout_12v_ip,53.11.2.179
KR53NXGP,,AVVA-0001,sky_scout_12v_ip,53.11.2.162
KR70GWGP,,AVVA-0001,sky_scout_12v_ip,60.39.2.33
KR76KKGP,,AVVA-0001,,
